Software Name,Vendor,Department,Owner,Last Used Date,Annual Cost,Licensed Count,Installed Count,Contract Renewal
Microsoft 365 E5,Microsoft,All Departments,IT Operations,2025-04-01,185000,250,247,2025-09-01
Salesforce CRM,Salesforce,Sales,Sales Ops,2025-03-28,92000,80,78,2025-12-01
ServiceNow ITSM,ServiceNow,IT Operations,IT Director,2025-04-01,145000,100,100,2026-01-15
Zoom Workplace,Zoom,All Departments,IT Operations,2025-04-01,38000,250,231,2025-11-01
Adobe Creative Cloud,Adobe,Marketing,Marketing Director,2024-11-15,28000,30,33,2025-08-01
Tableau Desktop,Salesforce,Finance,Finance Director,2024-09-12,54000,25,28,2025-10-01
Workday HCM,Workday,HR,HR Director,2025-03-20,210000,500,500,2026-03-01
Slack Business+,Slack,Engineering,Eng Director,2025-04-01,22000,120,118,2025-07-01
GitHub Enterprise,Microsoft,Engineering,Eng Director,2025-03-15,48000,90,94,2025-09-15
Jira Software,Atlassian,Engineering,Eng Director,2025-04-01,18000,90,92,2025-12-01
Confluence,Atlassian,All Departments,IT Operations,2025-02-10,12000,150,145,2025-12-01
Splunk Enterprise,Splunk,IT Security,CISO,2025-04-01,210000,20,20,2026-02-01
CrowdStrike Falcon,CrowdStrike,IT Security,CISO,2025-04-01,95000,500,487,2026-01-01
Okta SSO,Okta,IT Operations,IT Director,2025-04-01,42000,500,498,2025-10-01
DocuSign,DocuSign,Legal,General Counsel,2024-08-05,24000,40,40,2025-08-05
AutoCAD LT,Autodesk,Engineering,Eng Director,2024-10-18,36000,15,15,2025-10-18
Microsoft Visio,Microsoft,PMO,PMO Director,2024-11-02,18000,20,22,2025-11-02
Power BI Premium,Microsoft,Finance,Finance Director,2024-10-30,32000,30,34,2025-10-30
Miro,Miro,Strategy,Strategy VP,2024-11-20,14000,40,38,2025-11-20
SAP Concur,SAP,Finance,Finance Director,2024-07-14,48000,200,200,2025-07-14
Asana Business,Asana,Marketing,Marketing Director,2025-01-08,16000,50,49,2025-06-01
Webex Suite,Cisco,IT Operations,IT Director,2024-09-03,28000,100,82,2025-09-03
Snagit,TechSmith,Marketing,Marketing Director,2024-10-01,6000,20,18,2025-10-01
NetSuite ERP,Oracle,Finance,CFO,2025-04-01,320000,75,75,2026-04-01
Zendesk Suite,Zendesk,Customer Success,CS Director,2025-03-25,52000,60,58,2025-09-01
